鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
金湖鎮,土地,太武段627-2地號,360.99,其他,,,1060110,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,8310,,0.0,0,,RPWNMLRJKHMFFAW57CA,0.0,0.0,0.0,,
金寧鄉,土地,寧湖二劃測段1014地號,327.74,農,,,1060112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,9154,,0.0,0,,RPXNMLRJKHMFFAW67CA,0.0,0.0,0.0,,
金寧鄉,土地,寧安二劃段135地號,1000.0,農,,,1060117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2265000,2265,,0.0,0,,RPTNMLMJKHMFFAW76CA,0.0,0.0,0.0,,
金寧鄉,土地,北二三劃測段337地號,1232.5,農,,,1060124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,4057,,0.0,0,,RPPNMLRJKHMFFAW96DA,0.0,0.0,0.0,,
金寧鄉,土地,青山段1056地號,717.96,其他,,,1051230,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13000000,18107,,0.0,0,,RPUNMLTJKHMFFAW67DA,0.0,0.0,0.0,,
金湖鎮,房地(土地+建物),金門縣金湖鎮中興路28號,27.6,商,,,1051230,土地2建物1車位0,一層，二層，騎樓,二層,店面(店鋪),商業用,鋼筋混凝土造,0510815,42.16,0,3,1,有,無,7000000,166034,,0.0,0,,RPQNMLSJKHMFFAW17DA,42.16,0.0,0.0,,
烈嶼鄉,土地,陵水湖測段319地號,752.82,農,,,1060113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,950000,1262,,0.0,0,,RPPNMLSJKHMFFAW96CA,0.0,0.0,0.0,,
金寧鄉,土地,后湖村段13-2地號,42.5,其他,,,1060118,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,680000,16000,,0.0,0,,RPUNMLRJKHMFFAW37CA,0.0,0.0,0.0,,
金寧鄉,土地,后湖村段14地號,814.0,其他,,,1060118,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13024000,16000,,0.0,0,,RPVNMLRJKHMFFAW47CA,0.0,0.0,0.0,,
金湖鎮,土地,南雄段963地號,49.33,其他,,,1051228,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,320666,6500,,0.0,0,,RPUNMLOLKHMFFAW27CA,0.0,0.0,0.0,,
金城鎮,土地,山前段543-1地號,343.62,其他,,,1060203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1825973,5314,,0.0,0,,RPSNMLKKKHMFFAW56CA,0.0,0.0,0.0,,
金寧鄉,房地(土地+建物),金門縣金寧鄉昔果山57號,36.14,住,,,1060206,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),,,1021025,62.650000000000006,2,1,1,有,無,4900000,78212,,0.0,0,,RPQNMLTJKHMFFAW27DA,57.74,0.0,0.0,,
