鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
桃園區,土地,會稽段871地號,33.45,其他,,,1080909,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,999900,29892,,0.0,0,,RPQPMLLKJIOFFAH97CA,0.0,0.0,0.0,,
桃園區,車位,桃園市桃園區福元街129號等,5.96,住,,,1081010,土地0建物0車位1,,,其他,,,,37.81,0,0,0,有,無,800000,,坡道平面,37.81,800000,,RPTNMLMKJIOFFAH18CA,0.0,0.0,0.0,,
桃園區,房地(土地+建物),桃園市桃園區大有路650號八樓之12,6.57,住,,,1081027,土地1建物1車位0,八層,十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860901,55.11,1,1,1,有,有,3100000,56251,,0.0,0,,RPSOMLMKJIOFFAH18CA,37.95,0.84,4.79,,
桃園區,房地(土地+建物),桃園市桃園區青田街46號,53.0,工,,,1080822,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0620118,89.08,0,0,0,無,無,10350000,116188,,0.0,0,由權利人及義務人提供現況格局實際資訊，供地政士申報登錄。權利人不願登錄電話。含增建或未登記建物。3衛浴,RPTPMLMKJIOFFAH38CA,89.08,0.0,0.0,,
桃園區,房地(土地+建物)+車位,桃園市桃園區大業路一段347號四樓,23.59,住,,,1081003,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950125,135.25,3,2,2,有,有,8350000,61733,坡道平面,27.86,0,,RPQQMLMKJIOFFAH18CA,70.54,2.22,7.27,,
桃園區,房地(土地+建物),桃園市桃園區朝陽街９號四樓之３,3.35,商,,,1081008,土地1建物1車位0,四層,十四層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0861117,38.12,1,1,1,有,有,2100000,55089,,0.0,0,,RPQRMLMKJIOFFAH28CA,21.72,3.13,3.51,,
桃園區,房地(土地+建物),桃園市桃園區壽星街８巷５弄２０之４號,27.69,住,,,1081007,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701024,81.03,3,2,1,有,無,3500000,43194,,0.0,0,,RPSRMLMKJIOFFAH48CA,81.03,0.0,0.0,,
桃園區,車位,桃園市桃園區溫州一路288號2樓等,1.06,住,,,1081024,土地0建物0車位1,,,其他,,,,28.42,0,0,0,有,有,1700000,,坡道平面,28.42,1700000,,RPVTMLMKJIOFFAH98CA,0.0,0.0,0.0,,
桃園區,房地(土地+建物)+車位,桃園市桃園區中埔六街145之1號六樓,23.72,住,,,1080926,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930723,153.17,3,2,2,有,有,10900000,71163,坡道平面,27.37,0,,RPUOMLNKJIOFFAH48CA,82.76,1.5,12.98,,
桃園區,房地(土地+建物)+車位,桃園市桃園區永順街９９巷７號七樓,15.82,住,,,1081009,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030915,124.14,2,2,1,有,有,9560000,77010,坡道平面,33.87,0,,RPOTMLNKJIOFFAH38CA,54.62,0.0,7.44,,
桃園區,房地(土地+建物),桃園市桃園區慈光街１５０號四樓之２,11.04,住,,,1081002,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800912,61.85,2,2,1,有,有,3050000,49313,,0.0,0,,RPSTMLNKJIOFFAH78CA,42.52,0.0,7.08,,
桃園區,房地(土地+建物)+車位,桃園市桃園區莊敬路一段１８６號七樓,82.51,住,,,1081003,土地1建物1車位2,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950123,405.81,4,2,3,有,有,28800000,70969,坡道平面,0.0,0,,RPUTMLNKJIOFFAH98CA,232.15,0.0,22.3,,
桃園區,房地(土地+建物),桃園市桃園區博愛路６７號八樓之３７,3.78,商,,,1081017,土地1建物1車位0,八層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0711030,35.3,1,0,1,有,無,1650000,46742,,0.0,0,,RPWSMLOKJIOFFAH56CA,19.17,0.0,4.49,,
桃園區,房地(土地+建物),桃園市桃園區復興路９９號十五樓之１２,4.51,商,,,1081006,土地1建物1車位0,十五層,二十一層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0860322,47.2,1,1,1,有,有,2880000,61017,,0.0,0,,RPXNMLPKJIOFFAH88CA,25.85,0.0,4.52,,
桃園區,房地(土地+建物)+車位,桃園市桃園區天祥三街３２號九樓,9.87,住,,,1081023,土地3建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941201,53.6,3,2,2,有,有,4000000,74613,坡道平面,11.81,0,兄弟間買賣,RPWOMLTKJIOFFAH66CA,29.88,0.0,1.38,,
桃園區,土地,龍安段207地號,176.0,住,,,1080920,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14907200,84700,,0.0,0,,RPTQMLTKJIOFFAH56CA,0.0,0.0,0.0,,
桃園區,土地,三民段272地號,606.39,住,,,1080821,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,152246000,251069,,0.0,0,,RPTRMLTKJIOFFAH66CA,0.0,0.0,0.0,,
桃園區,土地,三民段273地號,983.23,住,,,1080806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,246866900,251077,,0.0,0,,RPURMLTKJIOFFAH76CA,0.0,0.0,0.0,,
