編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXOMLKLNHPFFBE88CB,苓洲段,6.18,都市：商,100000,1697,持分移轉,06310000
RPOPMLKLNHPFFBE08CB,苓洲段,4.99,都市：商,100000,1372,持分移轉,06310000
RPPPMLKLNHPFFBE18CB,苓洲段,4.31,都市：商,100000,1185,持分移轉,06310000
RPRPMLKLNHPFFBE38CB,苓洲段,4.95,都市：商,100000,1361,持分移轉,06310000
RPSPMLKLNHPFFBE48CB,苓洲段,5.25,都市：商,100000,1441,持分移轉,06310000
RPTPMLLLNHPFFBE68CB,苓洲段,4.31,都市：商,100000,1185,持分移轉,06310000
RPWPMLLLNHPFFBE98CB,苓洲段,5.25,都市：商,100000,1441,持分移轉,06310000
RPRQMLLLNHPFFBE58CB,苓洲段,4.31,都市：商,100000,1185,持分移轉,06310000
RPTPMLKLNHPFFBE58CB,苓洲段,6.18,都市：商,100000,1697,持分移轉,06310000
RPTQMLLLNHPFFBE78CB,苓洲段,4.95,都市：商,100000,1361,持分移轉,06310000
RPVQMLLLNHPFFBE98CB,苓洲段,5.25,都市：商,100000,1441,持分移轉,06310000
RPSNMLNLNHPFFBE58CB,苓洲段,4.99,都市：商,100000,1372,持分移轉,06310000
RPTNMLNLNHPFFBE68CB,苓洲段,4.31,都市：商,100000,1185,持分移轉,06310000
RPUNMLNLNHPFFBE78CB,苓洲段,4.95,都市：商,100000,1361,持分移轉,06310000
RPWNMLNLNHPFFBE98CB,苓洲段,6.18,都市：商,100000,1697,持分移轉,06310000
RPXNMLNLNHPFFBE09CB,苓洲段,4.99,都市：商,100000,1372,持分移轉,06310000
RPOOMLNLNHPFFBE28CB,苓洲段,4.31,都市：商,100000,1185,持分移轉,06310000
RPOQMLKLNHPFFBE18CB,苓洲段,4.31,都市：商,100000,1185,持分移轉,06310000
RPROMLNLNHPFFBE58CB,苓洲段,5.25,都市：商,100000,1441,持分移轉,06310000
RPQOMLNLNHPFFBE48CB,苓洲段,4.95,都市：商,100000,1361,持分移轉,06310000
RPSOMLNLNHPFFBE68CB,苓洲段,4.99,都市：商,100000,1372,持分移轉,06310000
RPWOMLPLNHPFFBE66CB,苓洲段,4.95,都市：住,100000,1361,持分移轉,06310000
RPPPMLPLNHPFFBE68CB,苓洲段,4.43,都市：商,100000,1216,持分移轉,06310000
RPTOMLNLNHPFFBE78CB,苓洲段,4.31,都市：商,100000,1185,持分移轉,06310000
RPQPMLPLNHPFFBE78CB,苓洲段,4.99,都市：商,100000,1372,持分移轉,06310000
RPSPMLPLNHPFFBE98CB,苓洲段,4.95,都市：商,100000,1361,持分移轉,06310000
