編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLOJOHPFFCQ96DA,坡道平面,0,,
RPRNMLTJOHPFFDQ67CA,一樓平面,0,,
RPWNMLTKNHPFFBQ97CA,坡道平面,0,,
RPUNMLLJOHPFFDQ17CA,坡道平面,0,29.87,
RPRNMLPJOHPFFDQ27CA,坡道平面,0,,
RPTOMLSJPHPFFCQ87CA,坡道平面,0,,
RPWNMLKMOHPFFCQ47CA,一樓平面,0,,
RPSPMLMJPHPFFDQ47DA,一樓平面,0,,一樓
RPRNMLQJPHPFFBQ37DA,一樓平面,0,,一樓
RPPNMLSJPHPFFDQ67EA,一樓平面,0,,一樓
RPRNMLNKPHPFFEQ47DA,一樓平面,0,,一樓
RPSNMLNKPHPFFEQ67EA,坡道平面,0,35.39,地下一樓
RPROMLOKPHPFFDQ57DA,一樓平面,0,,一樓
RPPNMLQKPHPFFCQ47EA,一樓平面,0,,一樓
RPROMLOKPHPFFBQ37DA,坡道機械,0,,地下一樓
RPROMLOKPHPFFBQ37DA,坡道機械,0,,地下一樓
RPQNMLRKPHPFFDQ77EA,坡道平面,0,29.86,地下二樓
RPVNMLLLPHPFFDQ67DA,坡道平面,0,,地下二樓
RPVNMLNLPHPFFCQ77DA,一樓平面,0,,一樓
RPTNMLRLPHPFFCQ97DA,坡道平面,0,,地下一樓
RPUNMLRLPHPFFCQ08DA,坡道平面,0,,地下一樓
RPQPMLMLPHPFFDQ47DA,升降機械,0,,地下一樓
RPPNMLSLPHPFFCQ77EA,坡道機械,0,,地下一樓
RPOOMLLLPHPFFDQ07DA,坡道機械,0,,地下一樓
RPQNMLKKQHPFFDQ07DA,坡道平面,0,,地下一樓
RPTNMLLKQHPFFCQ47EA,坡道平面,0,,地下一樓
RPQNMLMKQHPFFBQ07DA,坡道機械,0,,地下一樓
RPXOMLMKQHPFFCQ97DA,一樓平面,0,,一樓
RPOPMLMKQHPFFCQ17DA,一樓平面,0,,一樓
RPRPMLMKQHPFFCQ47DA,一樓平面,0,,一樓
RPTNMLKLPHPFFCQ27DA,升降機械,0,,地下一樓
RPSPMLMKQHPFFCQ57DA,一樓平面,0,,一樓
RPQPMLMKQHPFFCQ37DA,一樓平面,0,,一樓
RPXNMLMLPHPFFCQ87DA,一樓平面,0,,一樓
RPQNMLNLQHPFFBQ27DA,升降機械,0,,地下二樓
RPSNMLLLQHPFFCQ37DA,一樓平面,0,,一樓
RPPNMLPLQHPFFCQ57EA,升降機械,0,,地下一樓
RPQNMLRLQHPFFEQ97DA,一樓平面,0,,一樓
RPRNMLMJRHPFFDQ37DA,坡道平面,0,,地下一樓
RPTNMLMJRHPFFDQ67EA,坡道平面,0,,地下一樓
RPVNMLMJRHPFFDQ77DA,一樓平面,0,,一樓
RPRNMLPLQHPFFCQ67DA,坡道機械,0,,地下一樓
RPOOMLNJRHPFFCQ17DA,坡道機械,0,,地下一樓
RPRNMLRJRHPFFCQ77DA,一樓平面,0,,一樓
RPTNMLLMQHPFFBQ47DA,坡道平面,0,,地下一樓
