鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北區,房地(土地+建物),臺南市北區海安路3段B06棟11樓,11.15,住,,,1051224,土地1建物1車位0,十一層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,94.1,1,2,2,有,無,6420000,68225,,0.0,0,,RPOQMLKLOHPFFAD08CB
北區,房地(土地+建物)+車位,臺南市北區海安路3段B02棟05樓,11.15,住,,,1051224,土地1建物1車位1,五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.4,1,2,2,有,無,7600000,68013,坡道平面,33.3,1200000,,RPQQMLKLOHPFFAD28CB
北區,房地(土地+建物)+車位,臺南市北區海安路3段B05棟21樓,15.21,住,,,1051229,土地1建物1車位1,二十一層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.76,2,2,2,有,無,9980000,69905,坡道平面,33.3,1000000,,RPRQMLKLOHPFFAD38CB
北區,房地(土地+建物),臺南市北區海安路3段B06棟21樓,11.15,住,,,1060103,土地1建物1車位0,二十一層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,94.1,1,2,2,有,無,6530000,69394,,0.0,0,,RPSQMLKLOHPFFAD48CB
北區,房地(土地+建物)+車位,臺南市北區海安路3段A01棟24樓,15.18,住,,,1051225,土地1建物1車位1,二十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.96,2,2,2,有,無,10760000,73916,坡道平面,33.3,1250000,,RPTQMLKLOHPFFAD58CB
北區,房地(土地+建物)+車位,臺南市北區海安路3段A01棟13樓,15.14,住,,,1060410,土地1建物1車位1,十三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.96,2,2,2,有,無,10710000,73527,坡道平面,33.3,1250000,,RPUQMLKLOHPFFAD68CB
北區,房地(土地+建物)+車位,臺南市北區海安路3段A02棟24樓,11.15,住,,,1051225,土地1建物1車位1,二十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.63,1,2,2,有,無,8060000,72723,坡道平面,33.3,1200000,,RPVQMLKLOHPFFAD78CB
北區,房地(土地+建物)+車位,臺南市北區海安路3段A07棟10樓,15.18,住,,,1060104,土地1建物1車位1,十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.05,2,2,2,有,無,9980000,67806,坡道平面,33.3,1250000,,RPWQMLKLOHPFFAD88CB
北區,房地(土地+建物),臺南市北區海安路3段B06棟05樓,11.15,住,,,1051227,土地1建物1車位0,五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,94.1,1,2,2,有,無,6360000,67588,,0.0,0,,RPXQMLKLOHPFFAD98CB
