編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTOMLLKNHPFFEF98CC,坡道平面,0,,
RPRNMLLKNHPFFCF48CC,坡道平面,5000,36.60,
RPPOMLLKNHPFFCF38CC,一樓平面,0,,
RPTOMLLKNHPFFCF78CC,坡道機械,2200,16.79,
RPOOMLMKNHPFFIF98CC,坡道平面,0,30.05,
RPUPMLMKNHPFFAF88CC,坡道平面,0,31.97,
RPTQMLMKNHPFFBF98CC,坡道平面,0,,
RPPOMLNKNHPFFEF78CC,坡道平面,3000,36.15,
RPQPMLNKNHPFFEF98CC,坡道機械,0,24.17,
RPUOMLNKNHPFFEF66CC,坡道平面,0,32.40,
RPTOMLNKNHPFFEF56CC,坡道平面,0,30.10,
RPVOMLNKNHPFFEF76CC,坡道平面,0,,
RPXNMLOKNHPFFHF27CC,坡道平面,0,30.21,
RPPOMLOKNHPFFDF88DC,坡道平面,0,38.24,
RPROMLNKNHPFFHF66CC,坡道平面,0,36.97,
RPXPMLOKNHPFFEF17CC,坡道平面,0,,
RPTQMLOKNHPFFBF56CC,坡道平面,0,,
RPPUMLPKNHPFFBF66CC,坡道平面,0,48.65,
RPXTMLPKNHPFFBF37CC,其他,0,18.19,
RPUQMLOKNHPFFBF66CC,一樓平面,0,,
RPUQMLOKNHPFFBF66CC,一樓平面,0,,
RPUQMLOKNHPFFBF66CC,一樓平面,0,,
RPUQMLOKNHPFFBF66CC,一樓平面,0,,
RPRUMLPKNHPFFBF86CC,坡道平面,0,20.08,
RPOQMLPKNHPFFAF68CC,坡道平面,0,37.94,
RPSPMLPKNHPFFEF76CC,坡道平面,0,33.07,
RPOQMLPKNHPFFEF09CC,坡道平面,0,26.54,
RPTQMLPKNHPFFEF96CC,坡道平面,0,30.89,
RPWQMLPKNHPFFEF27CC,坡道平面,1700,27.60,
RPTRMLPKNHPFFGF27CC,坡道平面,0,26.99,
RPWRMLPKNHPFFGF57CC,坡道平面,0,26.99,
RPRSMLPKNHPFFGF17CC,坡道平面,0,26.99,
RPSSMLPKNHPFFGF27CC,坡道平面,0,26.99,
RPWSMLPKNHPFFGF67CC,坡道平面,0,26.99,
RPOSMLPKNHPFFGF86CC,坡道平面,0,23.39,
RPVSMLPKNHPFFGF57CC,坡道平面,0,26.99,
RPQSMLPKNHPFFGF07CC,坡道平面,0,26.99,
RPQNMLRKNHPFFEF56CC,坡道平面,0,31.66,
RPUNMLRKNHPFFEF96CC,坡道平面,0,25.58,
RPSNMLSKNHPFFEF86CC,坡道平面,0,35.85,
RPWNMLSKNHPFFAF86CC,坡道機械,0,12.64,
RPTNMLSKNHPFFDF86CC,坡道平面,0,31.50,
RPTQMLSKNHPFFDF17CC,坡道平面,0,33.62,
RPOPMLSKNHPFFIF07CC,坡道平面,0,36.69,
RPROMLTKNHPFFIF37CC,坡道平面,0,36.82,
RPQOMLTKNHPFFDF76CC,坡道平面,0,29.56,
RPXOMLTKNHPFFEF57CC,坡道平面,0,29.20,
RPOPMLTKNHPFFEF76CC,坡道平面,0,29.88,
RPQPMLTKNHPFFEF96CC,坡道平面,0,25.02,
RPRPMLKLNHPFFEF88CC,坡道平面,0,35.33,
RPSOMLKLNHPFFGF09CC,坡道平面,0,26.99,
RPTOMLKLNHPFFGF56CC,坡道平面,0,26.99,
RPVNMLKLNHPFFIF86CC,坡道平面,0,36.14,
RPQOMLKLNHPFFIF09CC,坡道機械,0,9.12,
RPUOMLLLNHPFFIF96CC,坡道機械,0,13.09,
RPOQMLLLNHPFFBF48CC,坡道機械,0,14.82,
RPTNMLMLNHPFFBF78CC,坡道平面,0,38.70,
RPVPMLMLNHPFFEF86CC,坡道平面,0,33.52,
RPUPMLMLNHPFFEF76CC,坡道平面,0,30.46,
RPUQMLMLNHPFFEF86CC,坡道平面,0,36.85,
RPWPMLMLNHPFFEF96CC,坡道機械,0,15.54,
RPPQMLMLNHPFFEF98CC,坡道平面,0,30.04,
RPTQMLMLNHPFFEF76CC,坡道平面,0,30.04,
RPSOMLMLNHPFFGF66CC,坡道平面,0,26.99,
RPPOMLOLNHPFFEF98CC,坡道機械,0,15.42,
RPQOMLOLNHPFFEF09CC,坡道平面,0,30.47,
RPSOMLOLNHPFFEF66CC,坡道平面,0,42.94,
RPTNMLPLNHPFFEF76CC,坡道機械,0,15.42,
