編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVOMLLKNHPFFAA18CB,坡道平面,0,32.25,
RPUOMLLKNHPFFAA08CB,坡道平面,0,32.25,
RPROMLLKNHPFFAA77CB,坡道平面,0,32.25,
RPROMLLKNHPFFAA77CB,坡道平面,0,32.25,
RPWOMLLKNHPFFAA28CB,坡道平面,0,32.25,
RPQOMLLKNHPFFAA67CB,坡道平面,0,32.25,
RPSOMLLKNHPFFAA87CB,坡道平面,0,32.25,
RPTOMLLKNHPFFAA97CB,坡道平面,0,32.25,
RPQPMLLKNHPFFAA77CB,坡道平面,0,32.25,
RPXOMLLKNHPFFAA38CB,坡道平面,0,32.25,
RPXOMLLKNHPFFAA38CB,坡道平面,0,32.25,
RPOPMLLKNHPFFAA57CB,坡道平面,0,32.25,
RPSPMLLKNHPFFAA97CB,坡道平面,0,32.25,
RPTPMLLKNHPFFAA08CB,坡道平面,0,32.25,
RPTPMLLKNHPFFAA08CB,坡道平面,0,32.25,
RPXPMLLKNHPFFAA48CB,坡道平面,0,32.25,
RPRPMLLKNHPFFAA87CB,坡道平面,0,32.25,
RPVPMLLKNHPFFAA28CB,坡道平面,0,32.25,
RPVPMLLKNHPFFAA28CB,坡道平面,0,32.25,
RPUPMLLKNHPFFAA18CB,坡道平面,0,32.25,
RPUPMLLKNHPFFAA18CB,坡道平面,0,32.25,
RPWPMLLKNHPFFAA38CB,坡道平面,0,32.25,
RPQQMLLKNHPFFAA87CB,坡道平面,0,32.25,
RPPQMLLKNHPFFAA77CB,坡道平面,0,32.25,
RPPQMLLKNHPFFAA77CB,坡道平面,0,32.25,
RPOQMLLKNHPFFAA67CB,坡道平面,0,32.25,
RPUQMLLKNHPFFAA28CB,坡道平面,0,32.25,
RPSQMLLKNHPFFAA08CB,坡道平面,0,32.25,
RPWQMLLKNHPFFAA48CB,坡道平面,0,32.25,
RPVQMLLKNHPFFAA38CB,坡道平面,0,32.25,
RPXQMLLKNHPFFAA58CB,坡道平面,0,29.65,
RPTQMLLKNHPFFAA18CB,坡道平面,0,32.25,
RPTQMLLKNHPFFAA18CB,坡道平面,0,32.25,
RPORMLLKNHPFFAA77CB,坡道平面,0,32.25,
RPPRMLLKNHPFFAA87CB,坡道平面,0,32.25,
RPPRMLLKNHPFFAA87CB,坡道平面,0,32.25,
RPPRMLLKNHPFFAA87CB,坡道平面,0,32.25,
RPPRMLLKNHPFFAA87CB,坡道平面,0,29.65,
RPQRMLLKNHPFFAA97CB,坡道平面,0,32.25,
RPSRMLLKNHPFFAA18CB,坡道平面,0,32.25,
RPRRMLLKNHPFFAA08CB,坡道平面,0,32.25,
RPRRMLLKNHPFFAA08CB,坡道平面,0,33.45,
RPVRMLLKNHPFFAA48CB,坡道平面,0,32.25,
RPTRMLLKNHPFFAA28CB,坡道平面,0,32.25,
RPWRMLLKNHPFFAA58CB,坡道平面,0,32.25,
RPURMLLKNHPFFAA38CB,坡道平面,0,32.25,
RPXRMLLKNHPFFAA68CB,坡道平面,0,32.25,
RPXRMLLKNHPFFAA68CB,坡道平面,0,32.25,
RPXRMLLKNHPFFAA68CB,坡道平面,0,32.25,
RPOSMLLKNHPFFAA87CB,坡道平面,0,32.25,
RPROMLMKNHPFFAA87CB,坡道平面,0,32.25,
RPROMLMKNHPFFAA87CB,坡道平面,0,32.25,
RPUNMLMKNHPFFDA38CB,坡道平面,2500000,37.61,
RPOOMLMKNHPFFDA87CB,坡道平面,2700000,37.61,
RPQOMLMKNHPFFDA08CB,坡道平面,2500000,37.61,
RPPOMLMKNHPFFDA97CB,坡道平面,2900000,37.61,
RPVNMLMKNHPFFDA48CB,坡道平面,2700000,37.61,
RPUOMLMKNHPFFDA48CB,坡道平面,2900000,37.61,
RPVOMLMKNHPFFDA58CB,坡道平面,2700000,37.61,
RPPPMLMKNHPFFDA08CB,坡道平面,2500000,37.61,
