編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLKLJIMFFBQ98CC,鎮安段,113.00,都市：住,,,,12420012
RPOOMLSLJIMFFBQ86CC,鎮安段,113.00,都市：住,,,,12420012
RPWNMLLLJIMFFBQ86CC,鎮安段,113.00,都市：住,,,,12420012
RPQNMLLJKIMFFCQ98DC,東榮段,63.00,都市：住,,,,06040000
RPPNMLNJKIMFFDQ56DC,嘉保段,114.48,都市：住,,,,02130040
RPQNMLMKJHNFFEQ66DC,梅北段,458.00,都市：其他:道路用地,,,,28090008
RPQNMLMKJHNFFEQ66DC,梅北段,390.00,都市：工,,,,28090010
RPQNMLMKJHNFFEQ66DC,梅北段,552.00,都市：其他:道路用地,,,,28090011
RPQNMLMKJHNFFEQ66DC,梅北段,1411.00,都市：工,,,,28090012
RPQNMLMKJHNFFEQ66DC,梅北段,5334.00,都市：工,,,,28090014
RPQNMLMKJHNFFEQ66DC,梅北段,10785.00,都市：工,,,,28090000
RPQNMLMKJHNFFEQ66DC,梅北段,1550.00,都市：其他:道路用地,,,,28090016
RPQNMLMKJHNFFEQ66DC,梅北段,2202.00,都市：工,,,,28090017
RPUNMLKMJIMFFBQ66CC,嘉朴段,114.37,都市：住,,,,01970021
RPTNMLQLJHNFFDQ37DC,十一指厝段圳西小段,147.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07400013
RPPNMLNJKIMFFBQ98DC,德安段,117.00,都市：住,,,,06520006
RPTNMLLMJHNFFCQ86DC,潭底段潭底小段,58.57,都市：住,,,,03570000
RPQNMLLMJHNFFCQ56DC,潭底段潭底小段,42.15,都市：住,,,,03040000
RPQNMLPJJHNFFBQ09CC,頂東石段黎明小段,93.10,非都市：特定專用區 ; 非都市編定：甲種建築用地,,,,00510033
RPRNMLLMJHNFFCQ66DC,潭底段潭底小段,46.58,都市：住,,,,02970002
RPSNMLLMJHNFFCQ76DC,潭底段潭底小段,27.09,都市：住,,,,03520000
RPRNMLLMJHNFFDQ66CC,柳新段,64.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07550000
RPOOMLLMJHNFFCQ09DC,菁埔段菁埔小段,185.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,02740004
RPVNMLLMJHNFFCQ07DC,潭底段潭底小段,58.94,都市：住,,,,03950000
RPSNMLLJKHNFFCQ56DC,新庄段,45.92,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07850000
RPPOMLLMJHNFFCQ56DC,潭底段潭底小段,98.00,都市：住,,,,02120000
RPXNMLLMJHNFFCQ27DC,溝背段,94.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00040034
RPRNMLLJKHNFFCQ09DC,林子前段三和小段,72.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01470046
RPTNMLLJKHNFFCQ66DC,新庄段,45.92,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07850000
RPQNMLLJKHNFFCQ98DC,潭底段潭底小段,100.00,都市：住,,,,04040007
RPTNMLPJKHNFFCQ07DC,潭底段潭底小段,36.48,都市：住,,,,03040002
RPRNMLPJKHNFFCQ86DC,潭底段潭底小段,67.54,都市：住,,,,03110000
RPPNMLPJKHNFFBQ09CC,嘉朴段,7.60,都市：住,,,,02620000
