編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLNKJIMFFAO66CC,36,155.93,住商用,鋼筋混凝土造,71年2月25日,五層,
RPOPMLNKJIMFFAO68CC,19,138.59,住家用,鋼筋混凝土造,87年7月10日,七層,
RPOPMLNKJIMFFAO68CC,19,36.41,共有部分,鋼筋混凝土造,87年7月10日,七層,
RPOPMLNKJIMFFAO68CC,19,15.32,共有部分,鋼筋混凝土造,87年7月10日,七層,
RPPPMLNKJIMFFAO78CC,10,17.66,集合住宅,鋼筋混凝土造,96年12月5日,十一層,
RPPPMLNKJIMFFAO78CC,10,11.91,防空避難室、停車空間、樓梯間、機械室、水箱,鋼筋混凝土造,96年12月5日,十一層,
RPRPMLNKJIMFFAO98CC,24,262.61,住家用,鋼筋混凝土造,83年1月20日,三層,
RPQPMLNKJIMFFAO88CC,27,85.05,住家用,鋼筋混凝土造,80年4月10日,五層,
RPQPMLNKJIMFFAO88CC,27,5.80,共有部分,鋼筋混凝土造,80年4月10日,五層,
RPSPMLNKJIMFFAO09CC,17,32.40,住家用,鋼筋混凝土造,89年4月17日,十四層,
RPSPMLNKJIMFFAO09CC,17,9.30,共有部分,鋼筋混凝土造,89年4月17日,十四層,
RPTNMLOKJIMFFAO56DC,14,373.64,補習班、樓梯間,鋼筋混凝土造,92年10月28日,三層,
RPXNMLQKJIMFFAO07CC,23,104.43,住家用,鋼筋混凝土造,83年7月13日,十二層,
RPXNMLQKJIMFFAO07CC,23,8.36,,鋼筋混凝土造,83年8月13日,十二層,
RPXNMLQKJIMFFAO07CC,,19.63,共有部分,鋼筋混凝土造,,十二層,
RPUNMLRKJIMFFAO86CC,4,93.26,集合住宅,鋼筋混凝土造,102年12月11日,十五層,
RPUNMLRKJIMFFAO86CC,4,17.84,共有部分,鋼筋混凝土造,102年12月11日,十五層,
RPUNMLRKJIMFFAO86CC,4,25.44,共有部分,鋼筋混凝土造,102年12月11日,十五層,
RPVOMLKLJIMFFAO09CC,19,227.51,車庫、住宅,鋼筋混凝土造,88年1月11日,四層,
RPSNMLNLJIMFFAO98CC,27,22.15,住家用,鋼筋混凝土造,79年5月3日,五層,
RPTPMLNKJIMFFAO56CC,13,30.98,集合住宅,鋼筋混凝土造,94年2月20日,四層,
RPTPMLNKJIMFFAO56CC,13,35.94,共有部分,鋼筋混凝土造,94年2月20日,四層,
RPTPMLNKJIMFFAO56CC,13,10.87,共有部分,鋼筋混凝土造,94年2月20日,四層,
RPVPMLNKJIMFFAO76CC,3,68.60,集合住宅,鋼筋混凝土造,103年8月29日,十五層,
RPVPMLNKJIMFFAO76CC,3,17.95,共有部分,鋼筋混凝土造,103年8月29日,十五層,
RPVPMLNKJIMFFAO76CC,3,50.35,共有部分,鋼筋混凝土造,103年8月29日,十五層,
RPQPMLNLJIMFFAO98CC,20,17.86,辦公室,鋼筋混凝土造,86年5月20日,十七層,
RPQPMLNLJIMFFAO98CC,20,4.93,共有部分,鋼筋混凝土造,86年5月20日,十七層,
RPQPMLNLJIMFFAO98CC,20,2.01,共有部分,鋼筋混凝土造,86年5月20日,十七層,
RPWOMLOLJIMFFAO96CC,2,70.48,集合住宅,鋼筋混凝土造,104年12月8日,二十七層,
RPWOMLOLJIMFFAO96CC,2,17.36,共有部分,鋼筋混凝土造,104年12月8日,二十七層,
RPWOMLOLJIMFFAO96CC,2,48.88,共有部分,鋼筋混凝土造,104年12月8日,二十七層,
RPRPMLNLJIMFFAO09CC,22,32.23,住家用,鋼筋混凝土造,84年7月5日,五層,
RPRPMLNLJIMFFAO09CC,22,7.18,共有部分,鋼筋混凝土造,84年7月5日,五層,
RPSPMLNLJIMFFAO56CC,,73.52,住家用,鋼筋混凝土造,,五層,
RPQPMLOLJIMFFAO09CC,16,50.03,辦公室,鋼筋混凝土造,90年8月21日,五層,
RPQPMLOLJIMFFAO09CC,16,32.31,共有部分,鋼筋混凝土造,90年8月21日,五層,
RPSOMLTLJIMFFAO07CC,26,141.51,住家用,鋼筋混凝土造,81年1月11日,十層,
RPSOMLTLJIMFFAO07CC,18,32.99,共有部分,鋼筋混凝土造,88年6月2日,十二層,
RPSOMLTLJIMFFAO07CC,18,23.16,共有部分,鋼筋混凝土造,88年6月2日,十二層,
RPSPMLTLJIMFFAO17CC,9,22.30,策略性產業辦公室,鋼筋混凝土造,97年9月11日,十三層,
RPSPMLTLJIMFFAO17CC,9,7.76,樓梯間、機械室、水箱、開放空間,鋼筋混凝土造,97年9月11日,十三層,
RPSPMLTLJIMFFAO17CC,9,3.82,停車空間兼防空避難室、機械室、機房、受電室,鋼筋混凝土造,97年9月11日,十八層,
RPXNMLLJKIMFFAO56CC,,39.78,商業用,鋼筋混凝土造,,十一層,
RPXNMLLJKIMFFAO56CC,,5.23,共有部分,鋼筋混凝土造,,十一層,
RPXNMLLJKIMFFAO56CC,,7.38,共有部分,鋼筋混凝土造,,十一層,
RPXNMLPJKIMFFAO96CC,7,193.81,辦公室、店舖,鋼筋混凝土造,99年7月23日,二十一層,
RPXNMLPJKIMFFAO96CC,7,48.40,共有部分,鋼筋混凝土造,99年7月23日,二十一層,
RPVNMLMKKIMFFAO56CC,28,22.15,住家用,鋼筋混凝土造,79年5月3日,五層,
RPQPMLSJKIMFFAO76CC,14,287.60,工廠,鋼筋混凝土造,93年2月5日,六層,
RPSNMLNKKIMFFAO09DC,10,101.59,集合住宅,鋼筋混凝土造,96年10月24日,九層,
RPTNMLOKKIMFFAO66DC,4,103.66,集合住宅,鋼筋混凝土造,102年6月15日,十八層,
RPUNMLOKKIMFFAO76DC,10,82.54,集合住宅,鋼筋混凝土造,96年10月24日,九層,
RPVOMLOKKIMFFAO86CC,,138.20,住商用,加強磚造,,五層,
RPUOMLOKKIMFFAO76CC,5,77.80,辦公室,鋼筋混凝土造,102年6月10日,五層,
