編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQOMLOKKHPFFAU96CA,坡道平面,800000,17.31,
RPTNMLKLKHPFFAU86CA,坡道平面,0,28.03,
RPQPMLQLKHPFFAU37CA,坡道平面,1700000,35.15,
RPWNMLQJLHPFFAU67CA,一樓平面,0,13.50,
RPUNMLOLLHPFFAU47CA,坡道平面,0,17.23,
RPUNMLOLLHPFFAU47CA,坡道平面,0,15.55,
RPWOMLKLLHPFFAU37CA,坡道平面,0,23.28,
RPROMLLJMHPFFAU86CA,一樓平面,0,13.39,
RPROMLMJLHPFFAU86CA,坡道平面,0,28.04,
RPSOMLMJLHPFFAU96CA,一樓平面,0,,
RPWNMLTJLHPFFAU97CA,坡道平面,1700000,34.90,
RPROMLKKLHPFFAU76CA,坡道平面,1500000,35.15,
RPTQMLNLLHPFFAU57CA,坡道平面,0,14.03,
RPVOMLNKLHPFFAU47CA,坡道平面,0,28.03,
RPSNMLSKLHPFFAU57CA,坡道平面,0,28.04,
RPPNMLTKLHPFFAU37CA,坡道平面,0,35.00,
RPVPMLKMLHPFFAU47CA,一樓平面,0,13.51,
RPSPMLNLLHPFFAU37CA,一樓平面,0,13.40,
RPWNMLTJMHPFFAU08CA,坡道平面,900000,18.99,
RPUNMLLMLHPFFAU27CA,一樓平面,0,13.75,
RPROMLTJMHPFFAU67CA,坡道平面,1800000,36.17,
RPRPMLQJMHPFFAU47CA,坡道平面,0,17.31,
RPUNMLMLMHPFFAU37CA,坡道平面,0,,
RPVNMLTJMHPFFAU97CA,一樓平面,0,12.60,
RPSNMLRLMHPFFAU67CA,坡道平面,0,13.05,
RPPNMLOKMHPFFAU96CA,坡道平面,700000,28.04,
RPXOMLKLMHPFFAU57CA,坡道平面,410000,4.35,
RPSOMLNKMHPFFAU27CA,坡道平面,0,39.83,
RPQOMLQKMHPFFAU37CA,坡道平面,1700000,34.90,
RPQNMLOKMHPFFAU07CA,坡道平面,700000,28.04,
RPUOMLQKMHPFFAU77CA,坡道平面,0,28.04,
RPUOMLQKMHPFFAU77CA,坡道平面,0,28.04,
RPVPMLNLMHPFFAU77CA,一樓平面,0,15.00,
RPTPMLNLMHPFFAU57CA,一樓平面,0,15.00,
RPWNMLKLMHPFFAU37CA,坡道平面,0,28.04,
RPQNMLKLMHPFFAU76CA,一樓平面,0,13.40,
RPPNMLNLMHPFFAU96CA,坡道平面,1700000,34.90,
RPVPMLKKOHPFFAU57CA,坡道平面,900000,30.21,
RPVPMLKKOHPFFAU57CA,坡道平面,900000,30.21,
RPWPMLKKOHPFFAU67CA,坡道平面,800000,30.21,
RPRPMLLJNHPFFAU07CA,坡道平面,0,13.75,
RPWPMLMLNHPFFAU87CA,坡道平面,0,22.02,
RPVPMLLJNHPFFAU47CA,坡道平面,0,20.99,
RPOQMLKKOHPFFAU96CA,坡道平面,800000,30.21,
RPOQMLKKOHPFFAU96CA,坡道平面,800000,30.21,
RPUNMLMKNHPFFAU37CA,一樓平面,0,.91,
RPSOMLLLNHPFFAU27CA,一樓平面,0,.91,
RPPOMLMLNHPFFAU07CA,一樓平面,0,.91,
RPTOMLMLNHPFFAU47CA,一樓平面,0,.91,
RPRNMLRJNHPFFAU47CA,坡道平面,0,17.62,
RPROMLMLNHPFFAU27CA,一樓平面,0,.91,
RPVOMLMLNHPFFAU67CA,一樓平面,0,.91,
RPOOMLMKNHPFFAU86CA,一樓平面,0,.91,
RPWOMLMLNHPFFAU77CA,一樓平面,0,.91,
RPWNMLMKNHPFFAU57CA,一樓平面,0,.91,
RPVNMLPLNHPFFAU87CA,一樓平面,0,.91,
RPTNMLMKNHPFFAU27CA,一樓平面,0,.91,
RPPQMLKKOHPFFAU07CA,坡道平面,800000,30.21,
RPQQMLKKOHPFFAU17CA,坡道平面,800000,30.21,
RPQNMLNKNHPFFAU07CA,坡道平面,0,28.03,
RPTNMLPKNHPFFAU57CA,坡道平面,0,14.17,
RPVOMLMKNHPFFAU57CA,坡道平面,1700000,34.90,
