編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQOMLLKKHPFFAT76CC,30,55.28,住家用,鋼筋混凝土造,78年10月18日,四層,
RPPNMLKLKHPFFAT56CC,36,40.17,住家用,鋼筋混凝土造,72年9月6日,五層,
RPPNMLKLKHPFFAT56CC,36,5.81,樓梯,鋼筋混凝土造,72年9月6日,五層,
RPUNMLOKKHPFFAT37CC,37,75.31,集合住宅,鋼筋混凝土造,72年5月10日,五層,
RPUNMLOKKHPFFAT37CC,,6.14,樓梯及屋頂突出物,鋼筋混凝土造,,五層,
RPRNMLLKKHPFFCT96CC,41,112.40,住家用,加強磚造,67年9月15日,二層,
RPRNMLKLKHPFFAT76CC,36,40.17,住家用,鋼筋混凝土造,72年9月6日,五層,
RPRNMLKLKHPFFAT76CC,36,5.81,樓梯,鋼筋混凝土造,72年9月6日,五層,
RPUNMLMJLHPFFAT17CC,39,1099.86,倉庫,鋼造,69年12月26日,一層,
RPUNMLMJLHPFFAT17CC,37,1088.75,守衛室、廠房,鋼架造，磚造，加強磚造,71年12月10日,一層,
RPTPMLLLKHPFFAT27CC,38,74.45,公寓,鋼筋混凝土造,70年12月21日,五層,
RPROMLNJLHPFFAT17DC,20,47.14,集合住宅,鋼筋混凝土造,88年12月4日,十四層,
RPROMLNJLHPFFAT17DC,20,38.41,走廊、辦公室、管理員室梯間、俱樂部梯間、公共空間、停車空間、防空避難室、屋頂突出物、陽台,鋼筋混凝土造,88年12月4日,十四層,
RPQOMLOJLHPFFCT27CC,27,169.38,住宅,鋼筋混凝土構造,82年8月7日,四層,
RPSNMLTJLHPFFBT77CC,20,439.51,廠房,鋼骨構造,88年11月3日,一層,
RPSNMLTJLHPFFBT77CC,20,858.06,廠房,鋼骨構造,88年11月3日,一層,
RPVOMLPJLHPFFAT67CC,36,89.23,住家用,鋼筋混凝土造,73年8月4日,五層,
RPVOMLPJLHPFFAT67CC,36,16.87,樓梯通道,鋼筋混凝土造,73年8月4日,,
RPXNMLLKLHPFFAT47CC,13,185.02,住家用,鋼筋混凝土造,95年11月15日,三層,
RPTOMLMKLHPFFAT37DC,28,164.23,住家用,鋼筋混凝土造,80年11月20日,四層,
RPWNMLSKLHPFFCT28CC,24,123.91,住家用,鋼筋混凝土造,85年1月9日,八層,
RPWNMLSKLHPFFCT28CC,24,26.06,防空避難室、停車空間、樓梯間、機梯室、水箱,鋼筋混凝土造,85年1月9日,八層,
RPUOMLKLLHPFFAT27CC,2,53.33,集合住宅,鋼筋混凝土造,107年3月15日,十四層,
RPUOMLKLLHPFFAT27CC,2,22.05,停車空間、防空避難室間停車空間、門廳、門廊、公共服務空間、管理委員會使用空間、頂蓋型沿街步道開放空間、梯間、樓梯間、水箱、機械房,鋼筋混凝土造,107年3月15日,十四層,
RPTNMLMKLHPFFAT27DC,23,101.40,住商用,鋼筋混凝土造,86年7月2日,三層,
RPSNMLKMLHPFFET47CC,11,310.23,農舍,鋼筋混凝土造,98年6月1日,二層,
RPWOMLKLMHPFFAT57CC,36,100.15,住家用,鋼筋混凝土造,73年7月6日,五層,
RPXNMLOKMHPFFAT87CC,16,181.01,集合住宅,鋼筋混凝土造,93年9月9日,十四層,
RPOPMLQJMHPFFCT47CC,25,723.94,工業用,見使用執照,84年3月10日,一層,
RPPNMLRJNHPFFCT57CC,30,182.70,住商用,鋼筋混凝土造,78年12月22日,三層,
RPQOMLKKMHPFFCT07CC,30,182.70,住商用,鋼筋混凝土造,78年12月22日,三層,
RPQNMLOJNHPFFAT17CC,41,64.26,住商用,鋼筋混凝土造,68年6月20日,三層,
RPTOMLTLMHPFFAT18CC,25,99.85,國民住宅,鋼筋混凝土造,83年12月12日,五層,
RPTOMLTLMHPFFAT18CC,25,10.86,停車空間，梯間,鋼筋混凝土造,83年12月12日,五層,
RPROMLQJNHPFFAT57CC,44,33.26,住商用,加強磚造,65年5月7日,二層,
RPOOMLLLMHPFFAT86CC,16,181.01,集合住宅,鋼筋混凝土造,93年9月9日,十四層,
RPQNMLQJNHPFFAT37CC,51,107.56,住商用,鋼筋混凝土加強磚造,58年8月20日,二層,
RPPOMLPJNHPFFAT27CC,25,82.85,住家用,鋼筋混凝土造,84年1月20日,七層,
RPPOMLPJNHPFFAT27CC,25,46.67,集合住宅，受電室，防空避難室,鋼筋混凝土造,84年1月20日,七層,
