編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUNMLLJNHMFFAB57CA,坡道機械,0,,
RPROMLMJNHMFFAB47CA,坡道平面,0,26.64,
RPROMLMJNHMFFAB47CA,坡道平面,0,26.64,
RPOPMLOJNHMFFAB47CA,坡道平面,0,16.67,
RPUOMLMJNHMFFAB77CA,坡道機械,0,,
RPXOMLSJNHMFFAB68CA,坡道平面,1200000,23.41,
RPOPMLSJNHMFFAB87CA,坡道機械,0,15.11,
RPUPMLLKNHMFFAB87CA,坡道平面,1000000,23.86,
RPXPMLMKNHMFFAB28CA,坡道平面,1200000,33.40,
RPOQMLMKNHMFFAB47CA,坡道平面,1200000,33.40,
RPPQMLMKNHMFFAB57CA,坡道平面,1200000,33.40,
RPRNMLNKNHMFFAB57CA,坡道機械,0,16.20,
RPUPMLQKNHMFFAB38CA,坡道平面,0,23.86,
RPUPMLQKNHMFFAB38CA,坡道平面,0,20.54,
RPROMLQKNHMFFAB97CA,坡道機械,550000,,
RPXPMLQKNHMFFAB68CA,坡道平面,1100000,23.86,
RPSOMLOJNHMFFAB77CA,坡道平面,0,29.75,
RPWNMLMJNHMFFBB97CA,升降機械,0,,
RPTOMLOJNHMFFBB97CA,坡道平面,0,,
RPXNMLMKNHMFFAB08CA,坡道平面,1100000,23.86,
RPOOMLMKNHMFFAB27CA,坡道平面,1200000,23.86,
RPXOMLSJNHMFFBB78CA,坡道機械,0,17.49,
RPQOMLMKNHMFFAB47CA,坡道平面,0,23.86,
RPQOMLMKNHMFFAB47CA,坡道平面,0,23.86,
RPXNMLTKNHMFFAB78CA,坡道機械,0,,
RPRNMLKKNHMFFBB37CA,坡道機械,0,,
RPRNMLKKNHMFFBB37CA,坡道機械,0,,
RPUPMLKKNHMFFBB87CA,坡道平面,0,26.44,
RPURMLKKNHMFFBB08CA,坡道機械,800000,,
RPTPMLTJNHMFFBB58CA,坡道平面,1400000,33.82,
SPUNMLMKNHMFFAB87CA,坡道平面,1100000,23.86,
RPUNMLMKNHMFFAB77CA,坡道平面,1200000,23.86,
RPXOMLQKNHMFFBB68CA,坡道機械,0,,
RPQPMLLKNHMFFBB57CA,坡道機械,600000,17.96,
RPUPMLOLNHMFFBB38CA,坡道平面,1350000,27.14,
RPVPMLOLNHMFFBB48CA,坡道平面,1250000,27.14,
RPOQMLOLNHMFFBB87CA,坡道平面,1300000,27.14,
RPPQMLOLNHMFFBB97CA,坡道平面,1350000,27.14,
RPXPMLOLNHMFFBB68CA,坡道平面,1250000,23.88,
RPQQMLOLNHMFFBB08CA,坡道平面,1250000,23.88,
RPRQMLOLNHMFFBB18CA,坡道平面,1450000,27.14,
RPUQMLPLNHMFFBB58CA,坡道平面,1450000,27.14,
RPUQMLPLNHMFFBB58CA,坡道平面,1450000,27.14,
RPUNMLKLNHMFFBB77CA,坡道平面,0,31.48,
RPUNMLKLNHMFFBB77CA,坡道平面,2700000,31.48,
RPWQMLPLNHMFFBB78CA,坡道平面,1350000,27.14,
RPSRMLPLNHMFFBB48CA,坡道平面,1350000,27.14,
RPQRMLPLNHMFFBB28CA,坡道平面,1350000,27.14,
RPTOMLQLNHMFFBB38CA,坡道平面,0,25.80,
RPXQMLPLNHMFFBB88CA,坡道平面,1350000,27.14,
RPXQMLPLNHMFFBB88CA,坡道平面,1350000,27.14,
