編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLTJRHPFFAT87DA,坡道平面,0,,地下一樓
SPTOMLTJRHPFFAT48DA,一樓平面,400000,,一樓
RPTOMLTJRHPFFAT38DA,一樓平面,0,,一樓
RPVOMLTJRHPFFAT58DA,坡道平面,0,,地下二樓
RPTOMLKKRHPFFAT57DA,一樓平面,0,,一樓
RPXOMLOKRHPFFAT48EA,坡道平面,0,24.01,地下二樓
RPXNMLLLQHPFFAT97DA,坡道平面,0,,地下一樓
RPVNMLPKRHPFFAT18DA,坡道平面,0,,地下一樓
RPWNMLOKRHPFFAT18DA,坡道平面,0,,地下一樓
RPXOMLLKRHPFFCT28DA,一樓平面,0,,一樓
RPPPMLQKRHPFFCT08DA,一樓平面,0,,一樓
RPRQMLLMPHPFFAT67DA,一樓平面,1000000,,一樓
RPOOMLLMQHPFFAT27DA,坡道平面,0,,地下一樓
RPXOMLRKRHPFFCT88DA,一樓平面,0,,一樓
RPUOMLRKRHPFFCT58DA,一樓平面,0,,一樓
RPQOMLRKRHPFFCT18DA,一樓平面,0,,一樓
RPQOMLRKRHPFFAT97DA,坡道平面,0,,地下一樓
RPVNMLMLRHPFFCT28EA,升降平面,0,,一樓
RPPNMLMLRHPFFAT47EA,一樓平面,0,,一樓
RPPNMLLLRHPFFDT57DA,升降機械,0,,地下一樓
RPTNMLLLRHPFFCT87DA,一樓平面,0,,一樓
RPRNMLMLRHPFFAT57DA,坡道平面,0,,地下一樓
RPXNMLNLRHPFFAT28DA,坡道機械,0,,地下一樓
RPWNMLNLRHPFFAT28EA,一樓平面,0,,一樓
RPXNMLNLRHPFFAT38EA,一樓平面,0,,一樓
RPOOMLNLRHPFFAT57EA,一樓平面,0,,一樓
RPPOMLNLRHPFFAT67EA,一樓平面,0,,一樓
RPQOMLNLRHPFFAT77EA,一樓平面,0,,一樓
RPOOMLOLRHPFFCT87EA,一樓平面,0,,一樓
RPROMLNLRHPFFAT87EA,一樓平面,0,,一樓
RPSOMLNLRHPFFAT97EA,一樓平面,0,,一樓
