編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWQMLLKRHPFFCB66CC,順和段,21.73,都市：住,,,,02170000
RPRPMLLKRHPFFAB48CC,土庫段,7.78,都市：住,,,,00270000
RPROMLLKRHPFFAB38CC,麻園頭段,17.24,都市：商,,,,00290000
RPWOMLLKRHPFFAB88CC,麻園頭段,16.29,都市：住,,,,01320000
RPVOMLLKRHPFFAB78CC,麻園頭段,19.48,都市：住,,,,00220000
RPOQMLLKRHPFFAB28CC,自由段一小段,296.00,都市：商,,,,00040000
RPOQMLLKRHPFFAB28CC,自由段一小段,67.00,都市：商,,,,00040001
RPQOMLLKRHPFFFB78CC,英才段,.00,都市：住,,,,07400000
RPXOMLLKRHPFFBB09CC,東山段,9.64,都市：住,,,,01410000
RPUQMLLKRHPFFAB88CC,大益段,.00,都市：住,,,,07320003
RPOOMLLKRHPFFHB78CC,甘潭段,84.86,都市：住,,,,06500007
RPQPMLLKRHPFFIB56CC,新榮和段,3.97,非都市： ; 非都市編定：,,,,00290000
RPRNMLLKRHPFFKB66CC,新東段,3.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00030000
RPRNMLLKRHPFFKB66CC,新東段,39.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00120000
RPQNMLLKRHPFFKB56CC,山腳段,19.19,都市：其他:第二種商業區,,,,03050000
RPPNMLMKRHPFFHB88CC,四維段,14.02,都市：住,,,,00680000
RPRNMLMKRHPFFAB38CC,樹子腳段,17.12,都市：住,,,,02580000
RPUNMLMKRHPFFIB86CC,新長壽段,101.26,都市：住,,,,00280005
RPQNMLMKRHPFFAB28CC,平和段,5.20,都市：商,,,,00500000
RPPPMLLKRHPFFBB48DC,仁和段,309.00,都市：住,,,,09540002
RPSNMLMKRHPFFAB48CC,下橋子頭段,15.62,都市：住,,,,01450022
RPTNMLMKRHPFFCB78CC,西屯段,4.23,都市：住,,,,22830002
RPSOMLOKRHPFFCB98CC,上石碑段,1105.48,都市：其他:空白,,,,27350000
RPRRMLOKRHPFFCB56CC,民安段,.00,都市：住,,,,18860000
RPVOMLOKRHPFFCB66CC,惠來厝段,949.00,都市：其他:空白,,,,12510005
RPWOMLOKRHPFFCB76CC,大墩段,12319.00,都市：其他:空白,,,,04690000
RPVNMLMKRHPFFCB98CC,西屯段,4.17,都市：住,,,,22830002
RPTOMLOKRHPFFCB09CC,國安段,2559.61,都市：其他:空白,,,,02920002
RPXOMLOKRHPFFBB76CC,賴厝?段,601.00,都市：其他:空白,,,,01460019
RPXQMLOKRHPFFCB07CC,下石碑段,.00,都市：住,,,,16920003
RPRPMLOKRHPFFBB88CC,東山段,2070.00,都市：其他:空白,,,,02210000
RPVQMLOKRHPFFBB76CC,松昌段,.00,都市：住,,,,01130000
RPOSMLOKRHPFFBB88CC,松昌段,.00,都市：住,,,,01130000
RPQSMLOKRHPFFBB09CC,東峰段,6.42,都市：住,,,,01580000
RPPSMLOKRHPFFBB98CC,東峰段,11.13,都市：住,,,,01580000
RPTSMLOKRHPFFBB76CC,北屯段,10.65,都市：住,,,,00260000
RPSSMLOKRHPFFBB66CC,東峰段,9.49,都市：住,,,,01580000
RPUSMLOKRHPFFBB86CC,賴厝?段,3.16,都市：商,,,,00310003
RPUSMLOKRHPFFBB86CC,邱厝子段,2.54,都市：商,,,,00310062
RPWSMLOKRHPFFBB07CC,中清段,8.50,都市：商,,,,00060000
RPRTMLOKRHPFFBB66CC,中清段,8.53,都市：商,,,,00060000
RPUNMLOKRHPFFAB88CC,後?子段,52.62,都市：住,,,,03300003
RPUPMLOKRHPFFAB09CC,平民段五小段,51.00,都市：住,,,,00010013
RPROMLOKRHPFFAB68CC,平和段,3716.16,都市：其他:空白,,,,00500000
RPSNNLPKRHPFFAB88CC,大益段,79.00,都市：住,,,,07580000
RPPOMLOKRHPFFAB48CC,柳川段一小段,2749.00,都市：其他:空白,,,,00040000
RPPOMLOKRHPFFAB48CC,柳川段一小段,638.00,都市：其他:空白,,,,00040006
RPRNNLPKRHPFFAB78CC,麻園頭段,44.89,都市：住,,,,00280000
RPUOMLPKRHPFFFB96CC,南簡段,22.99,都市：住,,,,07050010
RPVNMLPKRHPFFIB27CC,螺潭段,520.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,10710000
RPVNMLPKRHPFFIB27CC,螺潭段,520.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,10710002
RPOOMLPKRHPFFFB98CC,?榔段,66.00,都市：住,,,,08210072
RPOOMLPKRHPFFFB98CC,?榔段,27.00,都市：住,,,,08240020
RPWPMLPKRHPFFAB86DC,繼光段三小段,17.50,都市：商,,,,00050005
RPWPMLPKRHPFFAB86DC,繼光段三小段,17.50,都市：商,,,,00050017
RPOPMLPKRHPFFAB68DC,繼光段三小段,17.50,都市：商,,,,00050005
RPOPMLPKRHPFFAB68DC,繼光段三小段,17.50,都市：商,,,,00050017
RPQOMLQKRHPFFCB98CC,上石碑段,.00,非都市： ; 非都市編定：,,,,15350000
RPXSMLPKRHPFFCB37CC,上石碑段,24.27,都市：住,,,,26320000
RPXUMLPKRHPFFCB57CC,文山段,428.00,都市：工,,,,02830001
RPXRMLPKRHPFFBB17CC,東山段,.00,都市：住,,,,02210000
RPPTMLQKRHPFFCB76CC,國安段,.00,都市：住,,,,00940000
RPUOMLQKRHPFFCB76CC,安林段,.00,都市：住,,,,06430000
RPPTMLQKRHPFFCB76CC,國安段,.00,都市：住,,,,00940001
RPXPMLQKRHPFFCB17CC,安和段,.00,都市：工,,,,02180000
RPRTMLQKRHPFFCB96CC,福安段,.00,都市：住,,,,00720000
RPVTMLQKRHPFFCB37CC,豐功段,.00,都市：商,,,,02620000
RPWTMLQKRHPFFCB47CC,惠民段,.00,都市：其他:第六種新市政中心專用區,,,,01060000
RPPNMLQKRHPFFKB96CC,東園段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04560000
