編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLQKRHPFFCM37CC,和平段,166.31,都市：商,,,,09350000
RPQNMLQKRHPFFCM37CC,和平段,138.52,都市：商,,,,09360000
RPQNMLQKRHPFFCM37CC,和平段,69.04,都市：商,,,,09370000
RPRNMLLLRHPFFAM86CC,新豐段新豐小段,545.16,都市：住,,,,00060000
RPXNMLSLIIPFFBM47CC,新富功段,177.74,都市：農,,,,02990000
RPTNMLQLRHPFFBM67CC,明賢段,82.68,都市：住,,,,10920000
RPOOMLOJJIPFFAM68CC,新?段,98.37,都市：住,,,,01750000
RPQOMLSJKIPFFBM96DC,草屯段,141.00,都市：住,,,,01140019
RPWNMLSJKIPFFAM27CC,南投段,102.00,都市：商,,,,01480024
