編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXNMLPKNHNFFAO37CC,一樓平面,0,,
RPXNMLPKNHNFFAO37CC,一樓平面,0,,
RPTOMLSKNHNFFAO37CC,坡道機械,0,,
RPXOMLLLNHNFFAO17CC,坡道平面,0,27.42,
RPROMLSLNHNFFAO27CC,坡道平面,3000,,
RPROMLSLNHNFFAO27CC,坡道平面,3000,,
RPROMLSLNHNFFAO27CC,坡道平面,3000,,
RPWNMLLMNHNFFAO07CC,坡道平面,0,27.74,
RPTOMLLJOHNFFAO66CC,坡道平面,0,,
RPTQMLLJOHNFFAO86CC,坡道平面,0,,
RPQNMLNJOHNFFAO09CC,坡道平面,0,,
RPTNMLSJOHNFFAO27CC,坡道機械,0,38.42,
RPOOMLMKOHNFFAO98CC,坡道平面,3000,,
RPOOMLMKOHNFFAO98CC,坡道平面,3000,,
RPOOMLMKOHNFFAO98CC,坡道平面,3000,,
RPOOMLMKOHNFFAO98CC,坡道平面,3000,,
RPOOMLMKOHNFFAO98CC,坡道平面,3000,,
RPOOMLMKOHNFFAO98CC,坡道平面,3000,,
RPOOMLMKOHNFFAO98CC,坡道平面,3000,,
RPOOMLMKOHNFFAO98CC,坡道平面,3000,,
RPOOMLMKOHNFFAO98CC,坡道平面,3000,,
RPTOMLSJOHNFFAO37CC,坡道平面,0,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPPOMLMKOHNFFAO09CC,坡道平面,3000,,
RPUOMLNKOHNFFAO07CC,坡道平面,0,,
RPWPMLTKOHNFFAO97CC,坡道平面,3000,,
RPWPMLTKOHNFFAO97CC,坡道平面,3000,,
RPWPMLTKOHNFFAO97CC,坡道平面,3000,,
RPWPMLTKOHNFFAO97CC,坡道平面,3000,,
RPWPMLTKOHNFFAO97CC,坡道平面,3000,,
RPWPMLTKOHNFFAO97CC,坡道平面,3000,,
RPWPMLTKOHNFFAO97CC,坡道平面,3000,,
RPWPMLTKOHNFFAO97CC,坡道平面,3000,,
RPWPMLTKOHNFFAO97CC,坡道平面,3000,,
RPUPMLMLOHNFFAO17CC,坡道平面,0,,
RPUPMLMLOHNFFAO17CC,坡道平面,0,,
RPVPMLMLOHNFFAO27CC,坡道平面,0,,
RPQNMLNKPHNFFAO66CC,坡道平面,0,23.38,
RPSPMLSKPHNFFAO57CC,坡道機械,0,,
RPQPMLSKPHNFFAO37CC,坡道平面,0,,
RPQOMLKMPHNFFAO66CC,坡道平面,0,,
RPOQMLMJQHNFFAO66CC,坡道機械,0,,
